circle_id,waseda_id,source_hash,名前,メインカテゴリ,サブカテゴリ,活動内容,活動日時・場所,サイトメモ,translation_status,review_status,review_note
C0001,3162,d56931f91fa0069f,연식 야구부,스포츠(구기),야구,"저희 연식야구부는 도쿄 6대학 연식야구 연맹에 소속되어 있으며, 춘계 및 추계 리그전에서 상위 대회 출전을 목표로 싸우고 있습니다. 최근에는 6대학 추계 리그전 우승, 동일본 대회 8강이라는 좋은 성적을 거두며 대학 연식야구계를 이끄는 선두 주자라는 자각을 가지고 매일 연습에 임하고 있습니다.부원들은 고시엔 출전 경험이 있는 사람부터 고교 야구 경험이 없는 사람까지 다양하여 구성원이 다채롭지만, 무엇보다 진지하게 조금이라도 더 실력을 키우려고 전원이 노력하고 있다는 점은 공통점입니다. 대학에서 전국 대회를 목표로 하고 싶은 분, 진지하게 야구를 하고 싶지만 동아리 활동만으로는 부족하다고 느끼는 분들에게 추천합니다!",월~금요일/9시~11시 또는 13시/이시가이 공원·우키마 공원 등,없음,machine_translated,not_reviewed,
C0002,3530,c96737fb38ffff71,이공 경식 야구부,스포츠(구기),야구,"이공계 6개 대학 리그에 소속된 와세다 대학 유일의 경식 야구 동아리입니다. 활동은 주 1~3회입니다. 6개 대학 리그 우승을 목표로 매일 활동하고 있습니다. 매니저는 와세다 대학은 물론 일본여자대학, 도쿄여자대학, 세이센여자대학, 가쿠슈인여자대학, 도쿄가정대학, 쇼와여자대학, 교리츠여자대학 등 다양한 대학의 학생들이 소속되어 있습니다.활동 장소는 다양하며, 코마자와 공원 야구장, 에도가와 구장, 진구 실내 연습장, 아사카 시민 구장, 오노지 구장, 카미유즈키 구장, 타치카와 공원 구장 등 도쿄 도내 또는 도쿄 근교의 구장에서 주로 연습과 경기를 하고 있습니다.3월의 미야자키 합숙, 5월의 신입생 환영 합숙, 9월의 여름 합숙이나 도쿄돔에서의 경기, 해외 원정 등 외에도 체육관 레크리에이션 등 야구 이외의 이벤트도 알차게 마련되어 있습니다. ‘이공’이라는 이름이 붙어 있지만, 문과 학생들도 다수 재적하고 있습니다!
/
/
/
/인스타그램 등을 보고 흥미를 느끼신 분은 꼭 직접 연습에 와 주세요! 신입생 환영 기간 외에도 모집하고 있으니, 부담 없이 SNS DM으로 연락해 주세요!","평일(수업 후)·토·일
/
/
/
/도쿄 시내 또는 도쿄 근교의 야구장
/
/
/
/예) 고마자와 공원 야구장, 에도가와구 구장, 진구 실내 구기장, 아사카 중앙공원 야구장",없음,machine_translated,not_reviewed,
C0003,3396,6b522506d2247e8b,에도의 모임 (연식 야구 동호회),스포츠(구기),야구,"올해로 50주년을 맞이하는 연식 야구 동호회 에도의 모임입니다! 매주 화요일과 금요일, 주 2회 경험자와 비경험자가 함께 섞여 연습하고 있습니다. 동호회 행사로는 4월에 신입생 환영 합숙이 있고, 6월과 11월에는 1박 2일 대회 합숙이 있습니다. 그곳에서는 다양한 학년의 사람들과 팀을 이루어 경기를 치르며 단결력이 매우 높아집니다.또한, 9월 여름 합숙에서는 야구 연습은 물론, 강가에서 물놀이, 용기 시험, 불꽃놀이 등의 레크리에이션도 진행합니다. 그리고 3월에는 봄 합숙도 진행합니다. 또한, 연간 대회에도 적극적으로 참가하고 있으며, 프로스타나 관동 대회를 목표로 매일 연습에 힘쓰고 있습니다. 또한 야구뿐만 아니라, 납량선(여름 유람선)이나 스노보드 합숙, 학년별 디즈니 여행 등 매니저 분들도 즐길 수 있는 이벤트도 진행하고 있습니다.",매주 화·금요일 / 15시부터 19시 사이 / 카미이구사·우키마·테츠가쿠도 등,없음,machine_translated,not_reviewed,
C0004,3198,74043b20f10b14fd,프로야구 팬 서클 셀렉트,스포츠(구기),야구,"무엇보다 다들 야구를 정말 좋아해요! 12개 구단 팬은 물론 MLB나 6개 대학 리그 팬까지 폭넓게 소속되어 있으며, 다 같이 관전하러 가는 것은 물론, 하마스타에서의 아마추어 야구 경기나 와세다 축제 노점 운영 등 즐거운 이벤트도 가득! 그리고 주 2회, 도립 공원 야구장에서 연식야구를 하고 있습니다! 실력은 그리 뛰어나지 않지만, 초보자나 여성 회원도 함께 즐겁게 플레이하는 것이 특징이니, 느긋하게 아마추어 야구를 즐기고 싶은 분, 같은 구단 팬 친구를 사귀고 싶은 분은 꼭 셀렉트에서 최고의 대학 생활을 보내세요! 타 대학 학생이나 다른 동아리 활동과 병행하는 분도 대환영입니다!","매주 화·금요일/17시~21시/도립공원 야구장(아마추어 야구), 비정기/관동 지역 주요 야구장(야구 관전)",없음,machine_translated,not_reviewed,
C0005,3399,bb3c5377bd7ae9ab,와세다 대학 여자 연식 야구부 WASEBI,스포츠(구기),야구,"안녕하세요! 저희는 와세다에서 유일한 여자 연식 야구 동아리입니다! 주 3~4회 정도, 도쿄 도내 구장에서 활동하고 있습니다! WASEBI의 장점은 진지하게 야구에 임할 수 있다는 점입니다! 대학에 들어와서도 많이 몸을 움직이고 싶은 분은 물론, 새로운 것에 도전하고 싶은 분도 대환영입니다!우리 팀은 대학에서 야구를 시작한 선수들이 대부분을 차지하고 있으며, 그중에는 스포츠 경험이 없는 선수도 있습니다! 그래도 감독님과 선배들이 친절하고 꼼꼼하게 지도해 주시기 때문에, 경험이 없더라도 주전 선수가 될 수 있습니다! 또한, 유학생도 적극적으로 받아들이고 있어서, 야구를 하면서 국제 교류도 할 수 있습니다!!
/
/
/
/하지만 역시 대학생이 되면 아르바이트도 하고 싶고! 학업에도 힘쓰고 싶고(？)! 걱정 마세요!! 연습과 병행하고 있는 선수가 다수 재적 중이며, 부양 한도까지 일하는 것도 풀타임으로 수강하는 것도 가능합니다! 연습만 하는 답답한 야구 집단이라고 생각했던 당신! WASEBI는 단순한 야구 팀이 아닙니다! 쉬는 날에는 모 테마파크에 가거나, 맛있는 디저트를 먹으러 가거나, 그러다 보니 어쩌다 보니 야구를 하게 되기도 하고요. 선배 후배 관계없이 사이좋게 즐겁게 지내고 있습니다!!
/
/
/
/야구를 시작하는 데 계기 따위는 필요 없습니다! 이 페이지를 보고 나면 여자 야구에 더 관심이 생길 거예요!! 체험하러 오시면 분명 ""들어가고 싶다!""라고 생각하게 될 겁니다!! 초절정 격렬한 청춘을 보장합니다!! 기다리고 있겠습니다!","평일 1~2회(동아리원들의 시간표에 맞춰 결정), (토), 일/
/
/방학 기간: 화, 목, 토, 일
/
/도쿄 내 구장",없음,machine_translated,not_reviewed,
C0006,3525,de84498f49518bd6,와세다 이공학부 연식 야구부,스포츠(구기),야구,"통칭 '리코난'이라는 이름으로 활동하고 있습니다. 선수는 전원이 이공학부 학생으로 구성되어 있으며, 평일 주 2회 도쿄 내 구장에서 활동하고 있습니다. 최근에는 와세다 리그 등에서도 좋은 성적을 거두고 있으며, 매일 진구 구장 출전을 목표로 연습하고 있습니다. 합숙도 연 6회 실시하고 있으며, 이벤트를 병행하여 1년 내내 즐겁고 화기애애하게 활동하고 있습니다.행사 예시로는 신입생 환영 바비큐, 나료센(여름 유람선), 크리스마스 파티 등 다양합니다.그 외에도 학년별로 여행을 가거나 합숙에 참여하는 등 수많은 행사를 자유롭게 진행하고 있습니다. 연중 내내 선수와 매니저를 모집하고 있으니 부담 없이 연락해 주세요!! 야구를 하고 싶어지는 분, 스포츠를 즐기고 싶은 분, 많은 사람들과 함께 시끌벅적하게 응원하고 싶은 분, 대학 생활을 함께 즐길 친구를 리코난에서 찾아보지 않으시겠습니까? 리코난에서 최고의 대학 생활을 보내 봅시다!!",평일 비정기 주 2회/19시~(17시~)21시/조호쿠 공원·철학당·카미타카다,없음,machine_translated,not_reviewed,
C0007,3411,c0878cd81c5859a0,이나호 키커스,스포츠(구기 종목),축구,와세다 대학 전체를 아우르는 와세다 최대·최강의 축구 동아리. 월·수·금요일 연습을 통해 선수와 매니저 모두가 성장하고 우승을 목표로 활동한다.,매주 월·수·금요일 / 코이시카와·아카바네·신스나,없음,machine_translated,not_reviewed,
C0008,3521,90af0d9677d16139,와세다 대학 이공학부 축구부,스포츠(구기),축구,"통칭 “리코사”나 “와세다리”라고 불리는 축구 동아리. 연습은 기본적으로 월·목 주 2회 진행하며, 주말에는 시합이나 합숙, 원정을 떠난다. 50년 이상의 역사를 지니고 있어 와세다 내에서 가장 유서 깊은 축구 동아리 중 하나이다. 2013년도에는 와세다 대학 내 최강 축구 동아리를 가리는 학내 통합전에서 우승, 동아리계에서 가장 큰 규모인 매거진배에서 3위를 기록하는 성과를 남겼다.또한, 2015년도에는 관동 지역의 강호 팀들이 모이는 신관동 리그 2부에서 우승, 매거진배에서는 6위를 차지했다. 더불어 2016년도에는 관동 예선을 뚫고 진출한 전국 대회에서 준우승을 달성했다.이전에는 이공계 학생들이 중심이었으나, 최근에는 상경, 정경, 체육, 인문 등 문과 학부 및 타 학부 출신의 입부생도 많다. 매니저는 와세다대 학생과 타 대학 학생이 함께 활동하는 인카레 동아리이다. 입회비는 없으며, 부비는 불규칙적으로 납부한다.",매주 월·목·토요일 / 오치아이·코이시카와·마이하마·타나시 등,없음,machine_translated,not_reviewed,
C0009,3554,010dcac88dee17dc,인간과학부 축구부 휴먼 F.C.,스포츠(구기),축구,"동아리 축구 최고봉인 '신간토 풋볼 리그'에 소속되어 있습니다. 총 120명으로 구성된 축구 동아리입니다. '리그 제패', '일본 제1위' 타이틀 획득을 목표로 주 3~4회 캠퍼스 주변에서 연습 및 연습 경기를 하고 있습니다. 전국 대회 출전 경험자부터 초보자까지 폭넓은 인재가 많이 있습니다. 정성이 담긴 열정적인 플레이와 놀라울 정도의 밝은 분위기가 특징입니다.과거에는 와세다 대학 내 대회 연패와 일본 제일을 차지한 바 있습니다. 축구를 하고 싶은 분은 물론, 열정이 넘치는 환경을 원하는 분, 무엇보다 즐거운 캠퍼스 생활을 보내고 싶은 분은 꼭 참여해 주세요. 도코로자와 캠퍼스 최대 규모의 동아리에서 즐거운 학생 생활을 보내 봅시다. 신입생 환영 활동도 적극적으로 진행하며, 중간에 합류하셔도 대환영입니다. 꼭 연락해 주세요.",매주 월·수·금요일 / 도코로자와 주변,없음,machine_translated,not_reviewed,
C0010,3412,858c2f65eac2c42b,리베르데데,스포츠(구기 종목),축구,"안녕하세요! 와세다 대학 공인 풋살 동아리 Liberdade입니다!
/
/
/
/매주 일요일 키치조지에서 활동하고 있으며, 남자 55명, 여자 35명입니다!
/
/남자는 중학교 때까지 경험이 있는 사람이 많아서, 느긋하게 풋살을 즐기고 있습니다!
/
/여자 멤버들도 선수라서, 여자끼리만 풋살을 하거나 남자들과 섞여서 하기도 해요! 물론 초보자인 친구들이 대부분이에요! 상냥하고 시끌벅적한 사람들로 가득해서 정말 재미있어서, 어느새 매주 오게 돼요!
/
/
/
/또한 풋살 이외의 활동으로도 여름 합숙이나 가을 합숙, 스노보드 합숙 등을 가기도 하고, 다양한 이벤트도 기획하고 있어서, 풋살 이외의 활동도 알차게 보낼 수 있을 거예요!!
/
/동아리 내에서도 엄청 친해서, 활동 전에 밥이나 노래방 등에 가기도 하고, 학년별로 나뉘어 여행도 가는 등, 어쨌든 정말 사이가 좋아요!!/
/
/
/
/Liberdade는 정말 좋은 의미로 느긋한 분위기라서, 고등학생의 쉬는 시간처럼, 절도를 지키는 범위 내에서 즐길 수 있는 한계까지 마음껏 즐기는!! 그런 느낌이에요!
/
/
/
/풋살도 하고 싶지만, 합숙이나 이벤트 등도 할 수 있는 동아리에 들어가고 싶다고 생각하는 분!! 꼭 분별력이 있고, 절도를 지키는 범위 내에서 최고로 즐기고 싶은 분!! 절대적으로 Liberdade가 최고입니다!!
/
/
/
/조금이라도 재미있겠다, 나에게 맞을 것 같다 싶으시면 부담 없이 연락 주세요!
/
/
/
/다정한 동아리 멤버들과 함께 여러분의 참여를 기다리고 있습니다!","매주 일요일, 16:00~18:00, 풋살 파크 키치조지",없음,machine_translated,not_reviewed,
