circle_id,waseda_id,source_hash,名前,メインカテゴリ,サブカテゴリ,活動内容,活動日時・場所,サイトメモ,translation_status,review_status,review_note
C0001,3162,d56931f91fa0069f,软式棒球部,体育（球类）,棒球,我们软式棒球部隶属于东京六大学软式棒球联盟，以晋级更高层级的赛事为目标，积极参与春季和秋季的联赛。近年来，我们取得了六大学秋季联赛冠军、东日本大赛八强等优异成绩，深知作为引领大学软式棒球界的领军队伍的责任，并以此为动力投入日常训练。部员背景各异，既有参加过甲子园比赛的选手，也有从未接触过高中棒球的新手，虽然成员构成丰富多样，但大家都有一个共同点：都全神贯注地努力提升自己的球技。对于那些希望在大学期间冲击全国大赛、或者想认真打棒球但觉得社团活动不够过瘾的人来说，我们非常推荐加入！,周一至周五/9:00～11:00或13:00/石神井公园・浮间公园等,无,machine_translated,not_reviewed,
C0002,3530,c96737fb38ffff71,理工硬式棒球部,体育（球类）,棒球,"隶属于理工系六大学联盟，是早稻田大学唯一的硬式棒球社团。每周活动1~3次。为了在六大学联盟赛中夺冠，我们每天都在努力训练。经理团队不仅包括早稻田大学的学生，还有来自日本女子大学、东京女子大学、清泉女子大学、学习院女子大学、东京家政大学、昭和女子大学、共立女子大学等各大学的学生。活动地点多样，主要在驹泽公园棒球场、江户川球场、神宫室内练习场、朝霞市民球场、小野路球场、上柚木球场、立川公园球场等位于东京都内或近郊的球场进行训练和比赛。除了3月的宫崎集训、5月的新生欢迎集训、9月的夏季集训、在东京巨蛋的比赛以及海外远征等活动外，体育馆娱乐活动等棒球以外的其他活动也非常丰富。虽然队名中带有“理工”二字，但也有许多文科学生在队中！
/
/
/
/如果您通过Instagram等平台对本队产生兴趣，请务必亲自来参加训练！除新生欢迎期间外，我们全年都在招募新成员，欢迎随时通过社交媒体私信联系我们！","平日（课后）・周末
/
/
/
/东京都内或东京近郊的棒球场
/
/
/
/例如：驹泽公园棒球场、江户川区球场、神宫室内球技场、朝霞中央公园棒球场",无,machine_translated,not_reviewed,
C0003,3396,6b522506d2247e8b,江户之会（软式棒球同好会）,体育（球类）,棒球,今年迎来成立50周年的软式棒球社团“江户之会”！每周二、周五共两次，无论有经验还是无经验，大家都会混在一起练习。社团活动方面，4月有迎新集训，6月和11月则有为期两天一夜的比赛集训。在那里，通过与不同年级的成员组队比赛，团队凝聚力会大大增强。此外，9月的夏季集训中，除了棒球训练外，还会开展河边游玩、胆量挑战、烟花观赏等娱乐活动。3月还会举办春季集训。同时，我们积极参加年度大赛，以Pro-Star联赛和关东大赛为目标，每天都在努力训练。不仅限于棒球，我们还举办纳凉船、滑雪集训、年级迪士尼之旅等活动，让经理们也能乐在其中。,每周二、周五/15:00至19:00之间/上井草、浮间、哲学堂等地,无,machine_translated,not_reviewed,
C0004,3198,74043b20f10b14fd,职业棒球粉丝社团　Select,体育（球类）,棒球,总之大家都很喜欢棒球！不仅有12支球队的球迷，还有MLB和六大学棒球联盟的球迷，成员范围广泛。大家不仅会一起去观赛，还会在横滨体育场打业余棒球、在早稻田祭摆摊等，有趣的活动丰富多彩！ 此外，我们每周两次在都立公园的棒球场进行软式棒球活动！虽然实力不算太强，但我们的特色在于初学者和女生都能和谐共处、一起打球，所以想要悠闲地打打业余棒球，或者想结交同支球队粉丝的朋友，请务必加入Select，度过最棒的大学生活！也热烈欢迎其他大学的学生和兼顾多个社团的同学加入！,每周二、周五/17:00～21:00/都立公园棒球场（业余棒球），不定期/关东主要棒球场（观看棒球比赛）,无,machine_translated,not_reviewed,
C0005,3399,bb3c5377bd7ae9ab,早稻田大学女子软式棒球部 WASEBI,体育（球类）,棒球,"大家好！我们是早稻田大学唯一的女子软式棒球社团！每周在东京都内的球场进行3至4天的活动！WASEBI的优点在于能够认真对待棒球！无论是想在大学期间多运动的人，还是想挑战新事物的人，我们都热烈欢迎！我们队里大部分队员都是从大学才开始打棒球的，其中甚至还有完全没有运动经验的队员！不过，因为教练和学姐们都会亲切且细致地指导，所以即使是零基础的新人也能成为正式队员！此外，我们也积极接纳留学生，所以一边打棒球一边还能进行国际交流哦！！
/
/
/
/不过，毕竟是大学生，肯定也想打打工！也想专心学习（？）！没问题！！队里有许多既能兼顾训练又能兼顾工作的队员，无论是工作到刚好符合免税标准，还是全职工作，都是可以的！以为我们只是个整天只顾训练、闷闷不乐的棒球团体的你！WASEBI可不仅仅是一支棒球队！休息日我们会去某主题乐园游玩，去品尝美味甜点，但说不定最后还是会玩起棒球来。无论前辈后辈，大家相处融洽，乐在其中！！
/
/
/
/开始打棒球根本不需要什么契机！看了这页，你对女子棒球的兴趣肯定会更浓厚！！来体验一下，你绝对会想“我要加入！”！！我们保证让你度过一段超绝狂飙的青春！！期待你的加入！","平日1～2次（根据社团成员的时间表决定）、周六、周日/
/
/长假期间：周二、周四、周六、周日
/
/东京都内球场",无,machine_translated,not_reviewed,
C0006,3525,de84498f49518bd6,早稻田理工软式棒球部,体育（球类）,棒球,我们以“理科南”的昵称开展活动。队员全部由理工学院学生组成，平日每周在东京都内的运动场进行2次训练。最近我们在早稻田联盟等赛事中也取得了优异成绩，每天都在为登上神宫球场而努力训练。每年还举办6次集训，穿插各类活动，全年都在愉快融洽的氛围中开展活动。活动内容丰富多样，例如新生欢迎烧烤、纳凉船、圣诞派对等。此外，我们还自由组织各类活动，如年级旅行或参加集训等。我们全年都在招募球员和经理，欢迎随时联系我们！！想打棒球的人、想运动的人、想和大家一起热闹助威的人，何不在“Rikona”中寻找能共同享受大学生活的伙伴呢？让我们在“Rikona”度过最棒的大学生活吧！！,工作日不定期每周2天/19:00〜（17:00〜）21:00/城北公园・哲学堂・上高田,无,machine_translated,not_reviewed,
C0007,3411,c0878cd81c5859a0,稻穗踢球者,体育（球类）,足球,由早稻田大学全体学生组成的、早稻田最大最强的足球社团。通过周一、周三、周五的训练，球员与经理共同成长，以夺取冠军为目标开展活动。,每周一、三、五／小石川、赤羽、新砂,无,machine_translated,not_reviewed,
C0008,3521,90af0d9677d16139,早稻田大学理工足球部,体育（球类）,足球,通称“理科社”或“早理”的足球社团。训练基本每周一、四进行两次，周末则进行比赛、集训或远征。拥有50多年的历史，是早稻田大学内历史最悠久的足球社团之一。2013年度，该社团在决定早稻田大学内最强足球社团的校内统一赛中夺冠，并在社团界规模最大的《Magazine》杯中获得第三名。此外，2015年度在汇聚关东强队的“新关东联赛”第二部中夺冠，并在杂志杯中获得第6名。2016年度，该社团更是在通过关东预选赛晋级全国大赛后，勇夺亚军。虽然以前主要由理工科学生组成，但近年来商学院、政治经济学院、体育学院、人文学院等文科系以及其他院系的学生加入者也日益增多。作为跨校社团，其经理团队由早稻田大学学生与其他高校学生共同组成。无需入会费，社团费不定期收取。,每周一、四、六/落合、小石川、舞滨、田无等地,无,machine_translated,not_reviewed,
C0009,3554,010dcac88dee17dc,人类科学部足球部　Human F.C.,体育（球类）,足球,隶属于社团足球最高水平的“新关东足球联赛”。这是一个由120名成员组成的足球社团。为了夺取“联赛冠军”和“日本第一”的头衔，我们每周在校园周边进行3至4次训练和练习赛。成员涵盖从全国大赛参赛者到零基础的新手，人才济济。充满激情的比赛风格和令人惊叹的开朗氛围是我们的特色。过去曾实现早稻田校内联赛连冠并夺得日本冠军。不仅欢迎想踢足球的人，也欢迎渴望身处充满热情环境的人，以及单纯想享受快乐校园生活的人。欢迎加入所泽校区规模最大的社团，共度愉快的学生生活。我们将积极开展迎新活动，中途加入也热烈欢迎。请务必联系我们。,每周一、三、五／所泽周边,无,machine_translated,not_reviewed,
C0010,3412,858c2f65eac2c42b,里维尔德,体育（球类）,足球,"大家好！我们是早稻田大学官方认证的五人制足球社团Liberdade！
/
/
/
/每周日我们在吉祥寺开展活动，目前有55名男生和35名女生！
/
/男生中很多是在初中之前就有过经验的，所以我们踢得比较轻松随意！
/
/女生也是球员，所以有时只和女生一起踢，有时也会和男生混在一起踢！当然，大部分都是初学者！因为这里充满了温柔又爱闹的人，所以真的特别开心，不知不觉中每周都会来！
/
/
/
/此外，除了五人制足球之外，我们还会举办夏季集训、秋季集训、单板滑雪集训等活动，并策划各种活动，所以除了五人制足球之外，生活也绝对会很充实！！
/
/社团内部关系超级融洽，活动前会一起去吃饭或唱卡拉OK，还会按年级分组去旅行等等，总之大家真的非常要好！！/
/
/
/
/Liberdade在积极的意义上氛围很轻松，就像高中生的课间休息一样，在守规矩的范围内尽情享受乐趣！！就是这种感觉！
/
/
/
/如果你既想踢五人制足球，又想加入一个能参加集训和各类活动的社团！！如果你是那种有分寸、能在守规矩的前提下尽情享受乐趣的人！！那么Liberdade绝对是你的最佳选择！！
/
/
/
/只要觉得“看起来好像挺有趣的”、“好像挺适合我”，请随时联系我们！
/
/
/
/我们期待着与温柔的社团成员们一起迎接你的加入！",每周日 16:00〜18:00，吉祥寺五人制足球公园,无,machine_translated,not_reviewed,
